style,family
Hefeweizen,German
English Strong Ale,English
Foreign / Export Stout,Dark
German Pilsener,German
American Double / Imperial IPA,Hoppy
Herbed / Spiced Beer,Other
Oatmeal Stout,Dark
American Pale Lager,Hoppy
Rauchbier,Smoked
American Pale Ale (APA),Hoppy
American Porter,Dark
Belgian Strong Dark Ale,Belgian
American IPA,Hoppy
American Stout,Stout
Russian Imperial Stout,Stout
American Amber / Red Ale,Ale
American Strong Ale,Ale
Märzen / Oktoberfest,German
American Adjunct Lager,Light
American Blonde Ale,Light
Fruit / Vegetable Beer,Other
American Double / Imperial Stout,Stout
Light Lager,Light
Euro Pale Lager,Light
Dortmunder / Export Lager,German
Euro Strong Lager,Strong
Euro Dark Lager,Dark
Low Alcohol Beer,Other
Maibock / Helles Bock,German Dark
Bock,German Dark
English Bitter,English
English Porter,Dark
Extra Special / Strong Bitter (ESB),English
Scotch Ale / Wee Heavy,Strong
Milk / Sweet Stout,Dark
California Common / Steam Beer,Hoppy
Scottish Gruit / Ancient Herbed Ale,Other
Rye Beer,Ale
Saison / Farmhouse Ale,Belgian
Wheatwine,Other
American Brown Ale,Ale
Scottish Ale,Ale
Winter Warmer,Ale
American Barleywine,Strong
Witbier,Wheat
American Dark Wheat Ale,Ale
Cream Ale,Light
Kölsch,German
Vienna Lager,German
Dunkelweizen,German Dark
Belgian IPA,Belgian
American Black Ale,Ale
Irish Dry Stout,Dark
Weizenbock,German Dark
English Dark Mild Ale,Ale
English Barleywine,Strong
American Amber / Red Lager,Other
American Pale Wheat Ale,Ale
Czech Pilsener,Light
English India Pale Ale (IPA),Ale
Altbier,German
Pumpkin Ale,Other
Schwarzbier,German Dark
Munich Dunkel Lager,German Dark
English Pale Ale,Ale
Smoked Beer,Other
Belgian Strong Pale Ale,Belgian
Braggot,Other
Quadrupel (Quad),Strong
Old Ale,Strong
Chile Beer,Other
Japanese Rice Lager,Light
English Brown Ale,Ale
Lambic - Fruit,Wild/Sour
Dubbel,Belgian
Tripel,Belgian
American Wild Ale,Other
Baltic Porter,Dark
Flanders Oud Bruin,Ale
Belgian Pale Ale,Belgian
English Pale Mild Ale,Ale
Flanders Red Ale,Ale
Irish Red Ale,Ale
Bière de Garde,Ale
Berliner Weissbier,German
Lambic - Unblended,Wild/Sour
Belgian Dark Ale,Belgian
Munich Helles Lager,German
American Double / Imperial Pilsner,Strong
English Stout,Stout
Keller Bier / Zwickel Bier,German
American Malt Liquor,Strong
Doppelbock,German Dark
Black & Tan,Dark
Eisbock,German Dark
Kristalweizen,German
Happoshu,Other
Gose,Wild/Sour
Roggenbier,German
Sahti,Wild/Sour
Kvass,Other
Gueuze,Wild/Sour
Bière de Champagne / Bière Brut,Belgian
Faro,Belgian
